t,x,y,z,vx,vy,vz,dl_left,F_left,dl_right,F_right,z_bumper,vz_bumper,angularVelocity_y, inertia_y
2.350784,-0.2824754,0,-0.8014321,-0.05008741,0,-0.4076023,0,0,0,0,-0.9194269,-0.2369591,-0.5798466, 0.0634
2.370783,-0.2834386,0,-0.8095995,-0.04866925,0,-0.4081731,0,0,0,0,-0.9241599,-0.2367308,-0.579841, 0.0634
2.390783,-0.2843733,0,-0.8177779,-0.04724725,0,-0.4087271,0,0,0,0,-0.9288886,-0.2365091,-0.5798345, 0.0634
2.410784,-0.2852793,0,-0.8259669,-0.04581592,0,-0.4092658,0,0,0,0,-0.933613,-0.2362937,-0.5798278, 0.0634
2.430784,-0.2861566,0,-0.8341662,-0.04437979,0,-0.4097874,0,0,0,0,-0.9383333,-0.236085,-0.5798212, 0.0634
2.450785,-0.2870049,0,-0.8423756,-0.04293705,0,-0.410292,0,0,0,0,-0.9430496,-0.2358832,-0.5798152, 0.0634
2.470783,-0.2878243,0,-0.8505945,-0.04149065,0,-0.41078,0,0,0,0,-0.947762,-0.235688,-0.5798082, 0.0634
2.490784,-0.2886146,0,-0.8588228,-0.04003682,0,-0.4112507,0,0,0,0,-0.9524707,-0.2354997,-0.5798025, 0.0634
2.510784,-0.2893756,0,-0.86706,-0.03857734,0,-0.4117061,0,0,0,0,-0.9571757,-0.2353176,-0.5797949, 0.0634
2.530785,-0.2901074,0,-0.8753058,-0.03711395,0,-0.4121419,0,0,0,0,-0.9618774,-0.2351432,-0.5797902, 0.0634
2.550783,-0.2908098,0,-0.8835599,-0.03564519,0,-0.4125635,0,0,0,0,-0.9665757,-0.2349746,-0.579782, 0.0634
2.570784,-0.2914825,0,-0.8918221,-0.03416957,0,-0.4129678,0,0,0,0,-0.9712709,-0.2348129,-0.579775, 0.0634
2.590784,-0.2921258,0,-0.9000917,-0.03269367,0,-0.4133516,0,0,0,0,-0.975963,-0.2346594,-0.5797708, 0.0634
2.610785,-0.2927393,0,-0.9083686,-0.03120993,0,-0.4137228,0,0,0,0,-0.9806522,-0.2345109,-0.5797619, 0.0634
2.630783,-0.2933231,0,-0.9166525,-0.02972309,0,-0.4140743,0,0,0,0,-0.9853387,-0.2343703,-0.5797557, 0.0634
2.650784,-0.293877,0,-0.9249429,-0.02823228,0,-0.4144089,0,0,0,0,-0.9900225,-0.2342364,-0.5797492, 0.0634
2.670784,-0.2944011,0,-0.9332395,-0.02673882,0,-0.4147254,0,0,0,0,-0.9947038,-0.2341098,-0.5797433, 0.0634
2.690784,-0.2948951,0,-0.941542,-0.02524091,0,-0.4150253,0,0,0,0,-0.9993829,-0.2339899,-0.5797367, 0.0634
2.710783,-0.2953592,0,-0.9498501,-0.02373933,0,-0.4153087,0,0,0,0,-1.00406,-0.2338765,-0.579729, 0.0634
2.730783,-0.295793,0,-0.9581634,-0.02223295,0,-0.4155746,0,0,0,0,-1.008734,-0.2337701,-0.5797218, 0.0634
2.750784,-0.2961968,0,-0.9664814,-0.0207284,0,-0.4158203,0,0,0,0,-1.013407,-0.2336719,-0.5797172, 0.0634
2.770784,-0.2965703,0,-0.9748039,-0.01921777,0,-0.4160501,0,0,0,0,-1.018078,-0.2335799,-0.5797111, 0.0634
2.790783,-0.2969135,0,-0.9831305,-0.01770469,0,-0.4162637,0,0,0,0,-1.022747,-0.2334945,-0.5797033, 0.0634
2.810783,-0.2972264,0,-0.9914609,-0.01619013,0,-0.416459,0,0,0,0,-1.027415,-0.2334164,-0.5796964, 0.0634
2.830784,-0.297509,0,-0.9997948,-0.01467275,0,-0.4166361,0,0,0,0,-1.032082,-0.2333455,-0.5796902, 0.0634
2.850784,-0.2977612,0,-1.008132,-0.01315374,0,-0.4167965,0,0,0,0,-1.036747,-0.2332814,-0.579683, 0.0634
