t,x,y,z,vx,vy,vz,dl_left,F_left,dl_right,F_right,z_bumper,vz_bumper,,p_wagen,p_bumper,p_total,,kinE_wagen,kinE_bumper,kinE_total
3.579999,0,0,0.06977341,0,0,0.4284066,0,0,0,0,-0.8456995,0,,0.17136264,0,0.17136264,,0.036706443,0,0.036706443
3.599999,0,0,0.07834154,0,0,0.4284066,0,0,0,0,-0.8456995,0,,0.17136264,0,0.17136264,,0.036706443,0,0.036706443
3.619999,0,0,0.08690967,0,0,0.4284066,0,0,0,0,-0.8456995,0,,0.17136264,0,0.17136264,,0.036706443,0,0.036706443
3.639999,0,0,0.0954778,0,0,0.4284066,0,0,0,0,-0.8456995,0,,0.17136264,0,0.17136264,,0.036706443,0,0.036706443
3.659999,0,0,0.1040459,0,0,0.4284066,0,0,0,0,-0.8456995,0,,0.17136264,0,0.17136264,,0.036706443,0,0.036706443
3.679999,0,0,0.1126141,0,0,0.4284066,0,0,0,0,-0.8456995,0,,0.17136264,0,0.17136264,,0.036706443,0,0.036706443
3.699999,0,0,0.1211822,0,0,0.4284066,0,0,0,0,-0.8456995,0,,0.17136264,0,0.17136264,,0.036706443,0,0.036706443
3.719999,0,0,0.1297503,0,0,0.4284066,0,0,0,0,-0.8456995,0,,0.17136264,0,0.17136264,,0.036706443,0,0.036706443
3.739999,0,0,0.1383184,0,0,0.4284066,0,0,0,0,-0.8456995,0,,0.17136264,0,0.17136264,,0.036706443,0,0.036706443
3.759999,0,0,0.1468866,0,0,0.4284066,0,0,0,0,-0.8456995,0,,0.17136264,0,0.17136264,,0.036706443,0,0.036706443
3.779999,0,0,0.1554547,0,0,0.4284066,0,0,0,0,-0.8456995,0,,0.17136264,0,0.17136264,,0.036706443,0,0.036706443
3.799999,0,0,0.1640228,0,0,0.4284066,0,0,0,0,-0.8456995,0,,0.17136264,0,0.17136264,,0.036706443,0,0.036706443
3.819999,0,0,0.1725909,0,0,0.4284066,0,0,0,0,-0.8456995,0,,0.17136264,0,0.17136264,,0.036706443,0,0.036706443
3.839999,0,0,0.1811591,0,0,0.4284066,0,0,0,0,-0.8456995,0,,0.17136264,0,0.17136264,,0.036706443,0,0.036706443
3.859999,0,0,0.1897272,0,0,0.4284066,0,0,0,0,-0.8456995,0,,0.17136264,0,0.17136264,,0.036706443,0,0.036706443
3.879999,0,0,0.1982953,0,0,0.4284066,0,0,0,0,-0.8456995,0,,0.17136264,0,0.17136264,,0.036706443,0,0.036706443
3.899999,0,0,0.2068634,0,0,0.4284066,0,0,0,0,-0.8456995,0,,0.17136264,0,0.17136264,,0.036706443,0,0.036706443
3.919999,0,0,0.2154316,0,0,0.4284066,0,0,0,0,-0.8456995,0,,0.17136264,0,0.17136264,,0.036706443,0,0.036706443
3.939999,0,0,0.2239997,0,0,0.4284066,0,0,0,0,-0.8456995,0,,0.17136264,0,0.17136264,,0.036706443,0,0.036706443
3.959999,0,0,0.2325678,0,0,0.4284066,0,0,0,0,-0.8456995,0,,0.17136264,0,0.17136264,,0.036706443,0,0.036706443
3.979999,0,0,0.2411359,0,0,0.4284066,0,0,0,0,-0.8456995,0,,0.17136264,0,0.17136264,,0.036706443,0,0.036706443
3.999999,0,0,0.249704,0,0,0.4284066,0,0,0,0,-0.8456995,0,,0.17136264,0,0.17136264,,0.036706443,0,0.036706443
