t,x,y,z,vx,vy,vz,dl_left,F_left,dl_right,F_right,z_bumper,vz_bumper,,p_wagen,p_bumper,p_total
4.759998,0,0,-0.6199996,0,0,0,0,0,0,0,-3.679997,-1,,0,-1,-1
4.779998,0,0,-0.6199996,0,0,0,0,0,0,0,-3.699997,-1,,0,-1,-1
4.799998,0,0,-0.6199996,0,0,0,0,0,0,0,-3.719997,-1,,0,-1,-1
4.819998,0,0,-0.6199996,0,0,0,0,0,0,0,-3.739997,-1,,0,-1,-1
4.839998,0,0,-0.6199996,0,0,0,0,0,0,0,-3.759997,-1,,0,-1,-1
4.859998,0,0,-0.6199996,0,0,0,0,0,0,0,-3.779997,-1,,0,-1,-1
4.879998,0,0,-0.6199996,0,0,0,0,0,0,0,-3.799997,-1,,0,-1,-1
4.899998,0,0,-0.6199996,0,0,0,0,0,0,0,-3.819997,-1,,0,-1,-1
4.919998,0,0,-0.6199996,0,0,0,0,0,0,0,-3.839997,-1,,0,-1,-1
4.939998,0,0,-0.6199996,0,0,0,0,0,0,0,-3.859997,-1,,0,-1,-1
4.959998,0,0,-0.6199996,0,0,0,0,0,0,0,-3.879997,-1,,0,-1,-1
4.979998,0,0,-0.6199996,0,0,0,0,0,0,0,-3.899997,-1,,0,-1,-1
4.999998,0,0,-0.6199996,0,0,0,0,0,0,0,-3.919997,-1,,0,-1,-1
5.019998,0,0,-0.6199996,0,0,0,0,0,0,0,-3.939997,-1,,0,-1,-1
5.039998,0,0,-0.6199996,0,0,0,0,0,0,0,-3.959997,-1,,0,-1,-1
5.059998,0,0,-0.6199996,0,0,0,0,0,0,0,-3.979997,-1,,0,-1,-1
5.079998,0,0,-0.6199996,0,0,0,0,0,0,0,-3.999997,-1,,0,-1,-1
5.099998,0,0,-0.6199996,0,0,0,0,0,0,0,-4.019997,-1,,0,-1,-1
5.119998,0,0,-0.6199996,0,0,0,0,0,0,0,-4.039997,-1,,0,-1,-1
5.139998,0,0,-0.6199996,0,0,0,0,0,0,0,-4.059997,-1,,0,-1,-1
5.159998,0,0,-0.6199996,0,0,0,0,0,0,0,-4.079997,-1,,0,-1,-1
5.179998,0,0,-0.6199996,0,0,0,0,0,0,0,-4.099997,-1,,0,-1,-1
5.199998,0,0,-0.6199996,0,0,0,0,0,0,0,-4.119997,-1,,0,-1,-1
5.219998,0,0,-0.6199996,0,0,0,0,0,0,0,-4.139997,-1,,0,-1,-1
5.239998,0,0,-0.6199996,0,0,0,0,0,0,0,-4.159997,-1,,0,-1,-1
5.259998,0,0,-0.6199996,0,0,0,0,0,0,0,-4.179997,-1,,0,-1,-1
5.279998,0,0,-0.6199996,0,0,0,0,0,0,0,-4.199997,-1,,0,-1,-1
5.299998,0,0,-0.6199996,0,0,0,0,0,0,0,-4.219997,-1,,0,-1,-1
5.319998,0,0,-0.6199996,0,0,0,0,0,0,0,-4.239997,-1,,0,-1,-1
5.339998,0,0,-0.6199996,0,0,0,0,0,0,0,-4.259997,-1,,0,-1,-1
5.359998,0,0,-0.6199996,0,0,0,0,0,0,0,-4.279997,-1,,0,-1,-1
5.379998,0,0,-0.6199996,0,0,0,0,0,0,0,-4.299997,-1,,0,-1,-1
5.399998,0,0,-0.6199996,0,0,0,0,0,0,0,-4.319997,-1,,0,-1,-1
5.419998,0,0,-0.6199996,0,0,0,0,0,0,0,-4.339997,-1,,0,-1,-1
5.439998,0,0,-0.6199996,0,0,0,0,0,0,0,-4.359997,-1,,0,-1,-1
5.459998,0,0,-0.6199996,0,0,0,0,0,0,0,-4.379997,-1,,0,-1,-1
5.479998,0,0,-0.6199996,0,0,0,0,0,0,0,-4.399997,-1,,0,-1,-1
5.499998,0,0,-0.6199996,0,0,0,0,0,0,0,-4.419997,-1,,0,-1,-1
5.519998,0,0,-0.6199996,0,0,0,0,0,0,0,-4.439997,-1,,0,-1,-1
5.539998,0,0,-0.6199996,0,0,0,0,0,0,0,-4.459997,-1,,0,-1,-1
5.559998,0,0,-0.6199996,0,0,0,0,0,0,0,-4.479997,-1,,0,-1,-1
5.579998,0,0,-0.6199996,0,0,0,0,0,0,0,-4.499997,-1,,0,-1,-1
5.599998,0,0,-0.6199996,0,0,0,0,0,0,0,-4.519997,-1,,0,-1,-1
5.619998,0,0,-0.6199996,0,0,0,0,0,0,0,-4.539997,-1,,0,-1,-1
5.639998,0,0,-0.6199996,0,0,0,0,0,0,0,-4.559997,-1,,0,-1,-1
5.659998,0,0,-0.6199996,0,0,0,0,0,0,0,-4.579997,-1,,0,-1,-1
5.679998,0,0,-0.6199996,0,0,0,0,0,0,0,-4.599997,-1,,0,-1,-1
5.699998,0,0,-0.6199996,0,0,0,0,0,0,0,-4.619997,-1,,0,-1,-1
